
KI-10 simulator Open SIMH V4.1-0 Current        git commit id: a483514b+uncommitted-changes
Memory size changed: CPU0 = 512KW
/tmp/claude-1000/-home-deltaprism-arpanet/ef23d23f-4517-4df6-a113-1c4da8dc08db/scratchpad/offline-exam/offline-exam.do-4> restore -F /tmp/claude-1000/-home-deltaprism-arpanet/ef23d23f-4517-4df6-a113-1c4da8dc08db/scratchpad/offline-exam/host69-live.state
%SIM-INFO: LPT: creating new file
%SIM-ERROR: MTA0: Can't open 'media/system.tap': No such file or directory
Error Attaching MTA to media/system.tap
===SCALARS===
71206:	000000200000
71207:	000000600000
71210:	000000600000
71211:	000000600000
71212:	000000200000
71213:	000000600000
71214:	000000600000
71215:	000000200000
71216:	000000600000
71217:	000000600000
71220:	000000600000
71221:	000000200000
71222:	000000600000
71223:	000000600000
71224:	000000200000
71225:	000000600000
71226:	000000600000
71227:	000000600000
===IMPLT2 71230-71427===
71230:	040010071430
71231:	000000000000
71232:	000000000000
71233:	000000000000
71234:	000000000000
71235:	000000000000
71236:	000000000000
71237:	000000000000
71240:	000000000000
71241:	000000000000
71242:	000000000000
71243:	000000000000
71244:	000000000000
71245:	000000000000
71246:	000000000000
71247:	000000000000
71250:	000000000000
71251:	040010071451
71252:	000000000000
71253:	000000000000
71254:	040010071454
71255:	040010071455
71256:	000000000000
71257:	000000000000
71260:	040010071460
71261:	000000000000
71262:	000000000000
71263:	040010071463
71264:	000000000000
71265:	000000000000
71266:	000000000000
71267:	040010071467
71270:	000000000000
71271:	000000000000
71272:	040010071472
71273:	000000000000
71274:	000000000000
71275:	000000000000
71276:	040010071476
71277:	000000000000
71300:	000000000000
71301:	040010071501
71302:	000000000000
71303:	000000000000
71304:	000000000000
71305:	000000000000
71306:	000000000000
71307:	000000000000
71310:	000000000000
71311:	000000000000
71312:	000000000000
71313:	000000000000
71314:	000000000000
71315:	000000000000
71316:	000000000000
71317:	000000000000
71320:	000000000000
71321:	000000000000
71322:	040010071522
71323:	000000000000
71324:	000000000000
71325:	000000000000
71326:	040010071526
71327:	000000000000
71330:	000000000000
71331:	040010071531
71332:	000000000000
71333:	000000000000
71334:	000000000000
71335:	040010071535
71336:	000000000000
71337:	000000000000
71340:	040010071540
71341:	000000000000
71342:	000000000000
71343:	000000000000
71344:	040010071544
71345:	000000000000
71346:	000000000000
71347:	040010071547
71350:	000000000000
71351:	000000000000
71352:	000000000000
71353:	040010071553
71354:	000000000000
71355:	000000000000
71356:	000000000000
71357:	000000000000
71360:	000000000000
71361:	000000000000
71362:	000000000000
71363:	000000000000
71364:	000000000000
71365:	000000000000
71366:	000000000000
71367:	000000000000
71370:	000000000000
71371:	000000000000
71372:	000000000000
71373:	000000000000
71374:	000000000000
71375:	000000000000
71376:	000000000000
71377:	040010071577
71400:	000000000000
71401:	000000000000
71402:	000000000000
71403:	040010071603
71404:	000000000000
71405:	000000000000
71406:	040010071606
71407:	000000000000
71410:	000000000000
71411:	000000000000
71412:	040010071612
71413:	000000000000
71414:	000000000000
71415:	040010071615
71416:	000000000000
71417:	000000000000
71420:	000000000000
71421:	040010071621
71422:	000000000000
71423:	000000000000
71424:	040010071624
71425:	000000000000
71426:	000000000000
71427:	000000000000
===IMPLT3 71430-71627===
71430:	000000000000
71431:	000000000000
71432:	000000000000
71433:	000000000000
71434:	000000000000
71435:	000000000000
71436:	000000000000
71437:	000000000000
71440:	000000000000
71441:	000000000000
71442:	000000000000
71443:	000000000000
71444:	000000000000
71445:	000000000000
71446:	000000000000
71447:	000000000000
71450:	000000000000
71451:	000000000000
71452:	000000000000
71453:	000000000000
71454:	000000000000
71455:	000000000000
71456:	000000000000
71457:	000000000000
71460:	000000000000
71461:	000000000000
71462:	000000000000
71463:	000000000000
71464:	000000000000
71465:	000000000000
71466:	000000000000
71467:	000000000000
71470:	000000000000
71471:	000000000000
71472:	000000000000
71473:	000000000000
71474:	000000000000
71475:	000000000000
71476:	000000000000
71477:	000000000000
71500:	000000000000
71501:	000000000000
71502:	000000000000
71503:	000000000000
71504:	000000000000
71505:	000000000000
71506:	000000000000
71507:	000000000000
71510:	000000000000
71511:	000000000000
71512:	000000000000
71513:	000000000000
71514:	000000000000
71515:	000000000000
71516:	000000000000
71517:	000000000000
71520:	000000000000
71521:	000000000000
71522:	000000000000
71523:	000000000000
71524:	000000000000
71525:	000000000000
71526:	000000000000
71527:	000000000000
71530:	000000000000
71531:	000000000000
71532:	000000000000
71533:	000000000000
71534:	000000000000
71535:	000000000000
71536:	000000000000
